Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Sports / Snowboarding/Skiing,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,4.3,0.0,4.3,4.1,0.0,4.1,0.0,0.0,0.0,3.0,0.0,3.0,1030.0,0.0,1030.0,2
Sports / Snowboarding/Skiing,True,21.05,0.0,21.05,0.11,0.0,0.11,0.2,0.0,0.2,3.8,0.0,3.8,3.5,0.0,3.5,3.3,0.0,3.3,4.0,0.0,4.0,19.0,0.0,19.0,3578.0,0.0,3578.0,2
Sports / Soccer,False,50.0,50.0,50.0,0.11,0.18,0.01,-0.87,2.08,-1.7,2.0,2.65,1.0,2.0,2.65,1.0,2.87,1.01,3.4,1.0,1.0,1.0,1.67,2.08,1.0,9783.67,9198.75,9706.0,3
Stealth,False,12.5,25.0,0.0,0.02,0.05,0.0,-2.38,2.45,-3.6,1.25,2.5,0.0,1.25,2.5,0.0,3.62,0.05,3.6,0.25,0.5,0.0,0.5,1.0,0.0,595.25,344.5,423.0,4
Strategy,False,17.62,33.3,0.0,0.06,0.13,0.0,-0.94,1.93,-0.5,1.32,2.12,0.0,2.8,2.22,3.65,3.74,0.82,4.0,0.75,1.71,0.0,3.25,8.05,1.0,2656.98,7008.63,915.5,60
Strategy,True,20.38,10.54,22.21,0.24,0.48,0.08,0.3,0.47,0.2,3.1,1.68,3.5,3.88,0.42,3.8,3.58,0.35,3.6,5.17,11.08,2.0,24.58,47.59,11.0,5863.08,10189.17,2577.0,12
Strategy / Adventure,False,32.6,22.26,40.2,0.36,0.4,0.31,0.15,0.5,0.2,3.12,2.24,3.8,4.6,0.55,4.8,4.45,0.17,4.45,17.25,18.79,17.5,43.0,46.93,41.5,3497.0,2129.6,3272.0,4
Strategy / Adventure / Simulation,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.07,-0.25,0.0,0.0,0.0,3.5,0.71,3.5,3.75,0.78,3.75,0.0,0.0,0.0,1.0,0.0,1.0,467.0,651.95,467.0,2
Strategy / Card Game,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.47,0.61,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.61,3.6,0.0,0.0,0.0,0.0,0.0,0.0,395.67,452.96,158.0,3
Strategy / Card Game,True,25.0,,25.0,0.11,,0.11,0.2,,0.2,5.0,,5.0,4.7,,4.7,4.5,,4.5,3.0,,3.0,12.0,,12.0,2793.0,,2793.0,1
Strategy / Puzzle,False,50.0,70.71,50.0,0.12,0.16,0.12,-0.9,2.83,-0.9,0.5,0.71,0.5,2.75,2.47,2.75,3.65,0.35,3.65,0.5,0.71,0.5,22.5,30.41,22.5,2724.0,3234.31,2724.0,2
Strategy / Puzzle / Music/Rhythm,False,66.67,,66.67,0.4,,0.4,1.4,,1.4,4.5,,4.5,4.7,,4.7,3.3,,3.3,2.0,,2.0,3.0,,3.0,504.0,,504.0,1
Strategy / Puzzle / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1104.0,2
Strategy / RPG,False,10.91,21.56,0.0,0.03,0.05,0.0,-2.07,2.26,-3.3,1.36,2.34,0.0,1.85,2.29,0.0,3.92,0.55,3.8,0.36,0.67,0.0,1.18,1.72,0.0,1104.73,903.22,805.0,11
Strategy / RPG,True,18.75,12.5,25.0,0.04,0.05,0.02,-0.13,1.99,0.8,2.75,2.63,3.0,2.85,1.98,3.6,2.98,0.39,3.15,0.75,0.5,1.0,3.0,2.0,4.0,2804.0,2280.78,2853.0,4
Strategy / RPG / Action-Adventure,False,10.52,14.88,10.52,0.16,0.23,0.16,-1.7,2.12,-1.7,2.5,3.54,2.5,1.65,2.33,1.65,3.35,0.21,3.35,2.0,2.83,2.0,9.5,13.44,9.5,1087.0,216.37,1087.0,2
Strategy / RPG / Card Game,False,0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,782.0,,782.0,1
